"","WBN_GC_L_0.25","WBN_GC_H_0.25","WBN_GC_L_0.50","WBN_GC_H_0.50","WBN_GC_L_0.75","WBN_GC_H_0.75","WBN_GC_L_1.00","WBN_GC_H_1.00","WBN_EN_L_0.25","WBN_EN_H_0.25","WBN_EN_L_0.50","WBN_EN_H_0.50","WBN_EN_L_0.75","WBN_EN_H_0.75","WBN_EN_L_1.00","WBN_EN_H_1.00","WBN_LP_L_0.25","WBN_LP_H_0.25","WBN_LP_L_0.50","WBN_LP_H_0.50","WBN_LP_L_0.75","WBN_LP_H_0.75","WBN_LP_L_1.00","WBN_LP_H_1.00"
"64",-1.57037,1.75927,-1.89526,2.24394,-2.42527,2.8108,-3.13295,3.46664,-0.770758,1.17385,-1.5483,1.78524,-2.32882,2.53004,-3.11087,3.31356,-0.813562,1.10416,-1.47383,1.8934,-2.19847,2.68923,-2.95398,3.48839
"65",-1.46639,1.83721,-1.74547,2.33201,-2.15397,2.86742,-2.66252,3.41846,-0.608039,1.15752,-1.22342,1.6505,-1.84238,2.2234,-2.46332,2.85323,-0.589756,0.866653,-1.19227,1.50512,-1.80878,2.17166,-2.42937,2.84492
"66",-1.20863,2.35954,-1.68487,2.76729,-2.38332,3.26502,-3.14959,3.82324,-0.771032,1.34231,-1.54917,1.97494,-2.33106,2.68985,-3.11517,3.45046,-0.641159,1.10988,-1.36585,1.90909,-2.1341,2.71467,-2.91431,3.52287
"67",-1.37143,1.16471,-1.81107,1.73103,-2.43449,2.46766,-3.13725,3.22569,-0.711368,1.1786,-1.45311,1.80166,-2.20555,2.53025,-2.96273,3.28648,-0.866202,0.797773,-1.59219,1.55489,-2.34417,2.32388,-3.1028,3.09668
"68",-1.07933,2.2609,-1.44693,2.85437,-2.20148,3.53539,-2.97386,4.2726,-0.777005,1.2563,-1.55973,1.96768,-2.34534,2.78332,-3.13253,3.62945,-0.944392,1.1373,-1.57558,1.94064,-2.28022,2.7896,-3.03188,3.6474
"69",-1.75152,1.79545,-1.88398,2.31019,-2.09405,2.89164,-2.72157,3.50518,-0.676297,1.16035,-1.35259,1.6933,-2.02889,2.31968,-2.70519,2.99126,-0.645059,1.0331,-1.22315,1.68069,-1.87264,2.36167,-2.53432,3.05696
"70",-1.59369,1.24388,-1.91984,1.96809,-2.43383,2.77878,-3.15199,3.62298,-0.781632,1.17795,-1.56742,1.85474,-2.35511,2.6889,-3.14383,3.55001,-0.942794,1.15168,-1.64715,1.99603,-2.38204,2.85166,-3.1344,3.71325
"71",-0.749785,2.24454,-1.44266,2.63647,-2.21586,3.17607,-2.99411,3.82101,-0.772777,1.27665,-1.55373,1.85597,-2.33804,2.57832,-3.12408,3.35638,-0.688848,1.05914,-1.43307,1.84416,-2.20607,2.64328,-2.9874,3.44729
"72",-0.773798,2.17039,-1.53342,2.56141,-2.31118,3.05633,-3.09107,3.63229,-0.780632,1.26939,-1.56302,1.79066,-2.34612,2.48045,-3.12959,3.26298,-0.672181,1.10292,-1.34177,1.89764,-2.09801,2.69702,-2.8727,3.49834
"73",-1.93786,1.29769,-2.31169,2.1018,-2.80547,2.97632,-3.49527,3.87296,-0.814803,1.40787,-1.66347,2.15636,-2.52553,3.02402,-3.3936,3.92155,-0.93015,1.14384,-1.70561,2.02893,-2.54719,2.93345,-3.40739,3.84523
"74",-1.80266,1.22003,-1.94741,2.023,-2.63883,2.90313,-3.47572,3.79918,-0.837985,1.29326,-1.69544,2.05693,-2.56145,2.9186,-3.43173,3.80824,-0.926857,1.18658,-1.68324,2.0744,-2.51623,2.9739,-3.37303,3.87816
"75",-1.55354,1.67078,-2.10749,2.35271,-2.86544,3.19684,-3.6991,4.09226,-0.767939,2.33468,-1.58112,2.46493,-2.46664,3.19734,-3.36475,4.12896,-1.08835,1.13407,-1.88292,1.99942,-2.76694,2.91673,-3.6651,3.8507
"76",-1.79839,1.21988,-1.94689,2.01762,-2.64269,2.89349,-3.4823,3.7864,-0.840171,1.29199,-1.69763,2.05313,-2.56349,2.9125,-3.43363,3.80029,-0.926855,1.1796,-1.68325,2.06902,-2.51629,2.96802,-3.37314,3.87136
"77",-2.40033,1.30345,-2.57536,2.07549,-2.94868,2.95177,-3.47139,3.84735,-0.829331,1.2947,-1.68238,2.06532,-2.54519,2.93383,-3.41265,3.82874,-0.926945,1.16338,-1.68345,2.05664,-2.5159,2.96095,-3.37143,3.86968
"78",-1.4762,2.20515,-1.81326,2.52726,-2.49609,3.05173,-3.25673,3.76362,-0.797119,2.40119,-1.60368,2.67126,-2.41594,3.08546,-3.23173,3.7166,-0.918909,1.12837,-1.62492,1.96128,-2.39259,2.80479,-3.18588,3.65344
"79",-1.93788,1.29649,-2.3117,2.09467,-2.80549,2.96313,-3.49617,3.85444,-0.814622,1.40776,-1.66277,2.1519,-2.52417,3.0136,-3.39155,3.90577,-0.930052,1.14198,-1.70461,2.02275,-2.54519,2.92253,-3.4045,3.82956
"80",-2.21792,2.17669,-2.34697,2.29831,-2.63945,2.98165,-3.47334,3.85789,-0.837776,1.29431,-1.69487,2.06046,-2.56053,2.92485,-3.43047,3.81701,-0.92686,1.16564,-1.68343,2.05651,-2.51702,2.95882,-3.37437,3.86581
"81",-2.39867,1.68712,-2.52655,2.37058,-2.86396,3.22148,-3.70696,4.12529,-0.768556,1.41035,-1.60695,2.28396,-2.49636,3.21106,-3.39931,4.15261,-1.01072,1.11801,-1.8716,1.99722,-2.76938,2.9321,-3.67636,3.87841
"82",-1.30654,1.22219,-1.88363,2.0276,-2.67743,2.91256,-3.49524,3.81406,-0.837155,1.53621,-1.69375,2.36116,-2.55911,3.20594,-3.42884,4.06345,-1.0767,1.16888,-1.89271,2.06045,-2.7197,2.9639,-3.5508,3.87271
"83",-1.31514,1.16244,-1.85539,1.88729,-2.55873,2.69239,-3.32874,3.52361,-0.786277,1.28974,-1.58219,2.01561,-2.38499,2.81787,-3.19247,3.6457,-0.919192,1.12041,-1.63926,1.94284,-2.41397,2.77828,-3.20792,3.62076
"84",-1.32846,1.2056,-1.91023,2.03367,-2.68625,2.92056,-3.51615,3.82221,-0.815824,1.53628,-1.66594,2.36179,-2.52912,3.20818,-3.39816,4.06886,-1.0767,1.1481,-1.89276,2.0328,-2.71991,2.93438,-3.55143,3.84284
"85",-2.40033,1.29872,-2.52975,2.02117,-2.79093,2.83584,-3.3033,3.67104,-0.776616,1.29154,-1.56977,2.02267,-2.37187,2.83254,-3.17938,3.66883,-0.919163,1.13857,-1.639,1.96329,-2.41347,2.80622,-3.20729,3.65736
"86",-2.40033,1.31915,-2.5737,2.10055,-2.94551,2.96977,-3.4997,3.86156,-0.81449,1.3055,-1.66208,2.09539,-2.52273,2.97024,-3.38931,3.86734,-0.92959,1.14704,-1.70204,2.03256,-2.54108,2.93449,-3.39927,3.8425
"87",-1.36958,2.20609,-1.90527,2.53268,-2.67448,3.09132,-3.50731,3.90147,-0.816714,2.40127,-1.66811,2.67246,-2.53261,3.11474,-3.40296,3.90728,-0.929794,1.15705,-1.70507,2.04699,-2.5482,2.9526,-3.41044,3.8643
"88",-1.62601,1.17172,-1.96125,2.00471,-2.70857,2.88718,-3.53672,3.78298,-0.815982,1.30518,-1.6666,2.0876,-2.53045,2.95664,-3.40022,3.84908,-0.928265,1.17557,-1.70014,2.04778,-2.54126,2.94432,-3.40226,3.84768
"89",-1.37323,1.22457,-1.88366,2.03471,-2.67746,2.92439,-3.4952,3.83069,-0.837159,1.53657,-1.69377,2.36272,-2.55915,3.20999,-3.42892,4.07167,-1.0767,1.17126,-1.89272,2.06682,-2.71972,2.97478,-3.55082,3.88829
"90",-2.40111,1.29458,-2.53004,2.00285,-2.77027,2.82248,-3.31835,3.65966,-0.775528,1.2912,-1.56733,2.02095,-2.36826,2.82812,-3.17474,3.66105,-0.920553,1.08762,-1.64662,1.91208,-2.42782,2.75474,-3.22695,3.6045
"91",-2.40045,1.29424,-2.52917,2.07519,-2.77034,2.9832,-3.50946,3.90497,-0.81652,1.30493,-1.66593,2.10386,-2.52904,2.99842,-3.39797,3.91748,-0.929222,1.19824,-1.70285,2.1155,-2.54438,3.04342,-3.4051,3.97522
"92",-1.36957,1.2112,-1.90459,2.04244,-2.67424,2.92889,-3.50747,3.8297,-0.816186,1.30417,-1.66726,2.09275,-2.53155,2.96837,-3.40171,3.86675,-0.929262,1.16449,-1.70344,2.04931,-2.54594,2.95174,-3.40776,3.86049
"93",-2.32616,1.75978,-2.58002,2.25362,-2.96862,2.87227,-3.45793,3.59666,-0.642371,1.22055,-1.31682,1.90768,-2.01229,2.67647,-2.71877,3.46583,-0.825711,1.01782,-1.49264,1.79835,-2.1927,2.59338,-2.90337,3.39348
"94",-1.74981,1.3114,-2.18395,1.98936,-2.82688,2.90908,-3.64437,3.85666,-0.912032,1.23675,-1.82457,1.99671,-2.73728,2.9155,-3.65009,3.8621,-1.09039,1.25971,-1.72875,2.21078,-2.5028,3.16408,-3.36173,4.1185
"95",-1.53131,1.96998,-1.8359,2.47034,-2.43968,3.05739,-3.24329,3.72775,-0.812649,1.24657,-1.62749,1.88541,-2.44333,2.65495,-3.2597,3.48109,-0.835639,1.15971,-1.50525,2.00371,-2.24257,2.85106,-3.02515,3.70013
"96",-1.07696,2.00114,-1.66482,2.5156,-2.39176,3.14144,-3.17093,3.86089,-0.767105,1.41125,-1.5536,2.10964,-2.3496,2.89108,-3.15161,3.70569,-0.990737,1.09318,-1.65884,1.9161,-2.41076,2.75302,-3.19616,3.59554
"97",-1.40091,1.17781,-1.95073,2.03777,-2.75274,2.97062,-3.62445,3.91036,-0.868327,1.5361,-1.76294,2.36154,-2.66504,3.20932,-3.57022,4.07699,-1.07651,0.985655,-1.89254,1.92398,-2.72509,2.86908,-3.63222,3.8161
"98",-1.47034,1.28905,-1.66868,1.99855,-2.42662,2.81681,-3.2383,3.66479,-0.820883,1.03593,-1.64551,1.77952,-2.47123,2.64216,-3.29741,3.51132,-0.831217,1.10374,-1.52933,1.95497,-2.33097,2.81796,-3.14751,3.68502
"99",-1.5211,2.32647,-1.8274,2.73449,-2.33357,3.22703,-3.00673,3.83639,-0.762463,1.28058,-1.54543,1.86169,-2.33555,2.61893,-3.1289,3.41559,-0.84592,0.869277,-1.59938,1.67729,-2.38745,2.4916,-3.1817,3.3078
